incident,location,building,reported,occurred,comments,disposition,ucpdi#,start,end,in_jurisdiction,information,assist_other_agency,non_criminal,attempted,warrant,armed,aggravated,domestic,cpd_case_id,arrest,lat,lon
robbery,56th between dorchester and blackstone,NA,2011-07-09T17:58:00Z,7/9/11 5:57 PM,Male attempted to take purse from a woman walking on the sidewalk / Woman fell to the ground during struggle and injured her arm / Suspect fled without taking property/ Victim transported to ER by CFD EMS,Open,A00408,2011-07-09T17:57:00Z,NA,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7933175,-87.59097035
theft,5840 s. maryland,parking structure,2011-07-09T18:44:00Z,7/9/11 12:30 PM to 6:40 PM,Unknown person smashed passenger's side window of vehicle parked on 2nd floor of the structure and took a Garmin GPS,Open,A00409,2011-07-09T12:30:00Z,2011-07-09T18:40:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7888793,-87.6049986
weapon violation,midway pl. between cottage grove & maryland,NA,2011-07-10T09:35:00Z,7/10/11 9:35 AM,"UCPD officer arrested male subject for possession of a 9"" machete and a 4-1/2"" folding knife",Arrest,A00410,2011-07-10T09:35:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7861774,-87.679619
traffic violation,57th st. & stony island,NA,2011-07-10T16:54:00Z,7/10/11 4:54 PM,UCPD officer arrested motorist for driving with a suspended driver's license,Arrest,A00000,2011-07-10T16:54:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.791551,-87.5867215
burglary,greenwood between 53rd & 54th,NA,2011-07-11T05:47:00Z,7/11/11 12:00 AM to 5:45 AM,Unknown person gained entry to residential garage via unlocked door / Smashed passenger's side window of parked vehicle and took a hunting knife and sunglasses from the car as well as a bicycle from the garage,Open,A00411,2011-07-11T00:00:00Z,2011-07-11T05:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7986738,-87.59972595
theft,drexel between 60th & 61st,NA,2011-07-11T09:46:00Z,7/5/11 to 7/8/11 7:00 PM to 5:30 PM,Catalytic convertor taken from car parked on the street,Open,A00412,2011-07-05T19:00:00Z,2011-07-08T17:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7849759,-87.60440705
theft,924 e. 57th st.,bslc greenhouse,2011-07-11T11:37:00Z,7/11/11 11:20 AM to 11:30 AM,Unattended MacBook Pro laptop computer taken from desktop in unsecured office,Open,A00413,2011-07-11T11:20:00Z,2011-07-11T11:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791942,-87.602839
theft,900 e. 57th st.,knapp center,2011-07-11T14:19:00Z,6/21/11 to 6/23/11 4:00 PM to 9:00 AM,Unknown person took 23 monthly CTA passes from an unsecured office file cabinet,Open,A00414,2011-06-21T16:00:00Z,2011-06-23T09:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7916469,-87.6034081
theft,5840 s. maryland,parking structure,2011-07-11T15:53:00Z,7/11/11 6:45 AM to 3:50 PM,Unknown person smashed passenger's side window in car parked on the 3rd level and took a Tom Tom GPS,Open,A00415,2011-07-11T06:45:00Z,2011-07-11T15:50:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7888793,-87.6049986
theft,1414 e. 59th st.,i-house bike rack,2011-07-11T16:28:00Z,7/9/11 to 7/11/11 2:45 PM to 4:20 PM,Bicycle secured to bike rack with cable lock taken by unknown person,Open,A00416,2011-07-09T14:45:00Z,2011-07-11T16:20:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7882466,-87.5909896
theft,5840 s. maryland,parking structure,2011-07-11T19:46:00Z,7/11/11 11:30 AM to 7:35 PM,Unknown person smashed driver's side window in car parked on the 3rd level and took a Garmin GPS,Open,A00417,2011-07-11T11:30:00Z,2011-07-11T19:35:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7888793,-87.6049986
damage to vehicle,60th at kimbark,NA,2011-07-11T23:39:00Z,7/11/11 1:00 PM to 11:30 PM,Rear window of car parked on the street smashed,Open,A00418,2011-07-11T13:00:00Z,2011-07-11T23:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7860424,-87.594714
theft,54th between kimbark and kenwood,NA,2011-07-12T17:39:00Z,7/11/11 to 7/12/11 9:00 AM to 12:00 PM,Unknown person took secured bicycle from bike rack in basement of private apartment building,Open,A00422,2011-07-11T09:00:00Z,2011-07-12T12:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7979996,-87.594222
theft,6031 s. ellis,south campus residence hall bike rack,2011-07-12T19:41:00Z,6/28/11 to 7/4/11 6:00 PM to 3:00 PM,Unknown person cut U-lock and took bicycle from bike rack,Open,A00423,2011-06-28T18:00:00Z,2011-07-04T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7845959,-87.6008803
assault,midway pl. at drexel,NA,2011-07-12T19:29:00Z,7/12/11 7:25 PM,"Woman, sitting on a park bench, was threatened, without provocation, with bodily harm by another woman / Arrest by UCPD",Arrest,A00424,2011-07-12T19:25:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7723961,-87.7468948
theft,5721 s. maryland,comer hospital,2011-07-12T10:16:00Z,7/11/11 6:20 PM to 6:40 PM,Man left Apple 4G cell phone unattended in lobby / Returned to find phone missing,Open,A00419,2011-07-11T18:20:00Z,2011-07-11T18:40:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7901847,-87.6045849
theft,ellis between 54th & 55th,NA,2011-07-12T11:41:00Z,7/12/11 11:35 AM,"Two unknown males on the street asked to use man's cell phone / After receiving phone, suspects ran off",Open,A00420,2011-07-12T11:35:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.796442,-87.6013006
lost property,57th at greenwood,NA,2011-07-12T12:22:00Z,7/12/11 11:40 AM to 12:00 PM,Woman placed her wallet in her tote bag and walked to Ratner / Found wallet missing from bag,Closed,A00421,2011-07-12T11:40:00Z,2011-07-12T12:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7658656,-87.5982701
battery,54th at kimbark,NA,2011-07-13T12:05:00Z,7/13/11 11:55 AM,"Unknown male grabbed woman by the hair and pulled her to the sidewalk / Woman screamed, suspect ran to waiting car that sped off",Open,A00425,2011-07-13T11:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.797989,-87.5949958
theft,5807 s. woodlawn,booth school,2011-07-13T13:11:00Z,7/13/11 11:20 AM to 12:00 PM,Wallet taken from book bag left unattended on 3rd floor,Open,A00426,2011-07-13T11:20:00Z,2011-07-13T12:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7891387,-87.5954555
found property,1313 e. 60th st.,chapin hall,2011-07-13T14:41:00Z,7/13/11 2:40 PM,A gardener found what appeared to be a spent pellet from a firearm / Item turned over to CPD,Closed,A00427,2011-07-13T14:40:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7858456,-87.5928071
trespassing,54th between kimbark & kenwood,NA,2011-07-13T18:27:00Z,7/13/11 2:00 AM,Complainant awakened by voices and saw two unknown persons running up rear porch stairs of apartment building / Ladder found leaning against rear of building / Suspects fled,Open,A00429,2011-07-13T02:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7979996,-87.594222
NA,950 e. 59th st.,billings hospital,2011-07-13T20:33:00Z,7/13/11 3:30 PM to 5:15 PM,Staff member found a piece of paper in the women's washroom with a drawing of a gun / Drawing retained by Hospital Security,Closed,A00428,2011-07-13T15:30:00Z,2011-07-13T17:15:00Z,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7878636,-87.6021173
lost property,1414 e. 59th st.,international house,2011-07-14T08:10:00Z,6/27/11 to 7/14/11 5:00 PM to 6:30 AM,Woman reported losing cash that had been placed in her suitcase,Closed,A00430,2011-06-27T17:00:00Z,2011-07-14T06:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7882466,-87.5909896
traffic accident,5840 s. maryland,parking structure,2011-07-14T10:30:00Z,7/14/11 10:30 AM,Property damage traffic collision,Closed,A00431,2011-07-14T10:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7888793,-87.6049986
theft,56th st. between drexel and ingleside,NA,2011-07-14T14:38:00Z,7/14/11 5:45 AM to 2:35 PM,Unknown person smashed passenger's side window of car parked on the street and took a Tom Tom GPS,Open,A00432,2011-07-14T05:45:00Z,2011-07-14T14:35:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79342375,-87.5934651
theft,dorchester between 55th & 56th,NA,2011-07-14T19:00:00Z,7/14/11 6:55 PM,UCPD officers arrested a male subject seen taking a bicycle from the court way of an apartment building,Arrest,A00433,2011-07-14T18:55:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7944088,-87.5916643
traffic violation,63rd at dorchester,NA,2011-07-14T22:10:00Z,7/14/11 10:10 PM,UCPD officers arrested a traffic violator for driving with a suspended driver's license and no proof of insurance,Arrest,A00000,2011-07-14T22:10:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7805546,-87.5915096
theft,5840 s. maryland,parking structure,2011-07-15T12:58:00Z,7/15/11 7:45 AM to 12:55 PM,Unknown person smashed windows of three cars parked on the 4th level of the parking structure / Two Garmin GPS taken,Open,A00434,2011-07-15T07:45:00Z,2011-07-15T12:55:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7888793,-87.6049986
robbery,52nd between woodlawn & kimbark,NA,2011-07-16T01:11:00Z,7/16/11 1:00 AM,"Three men, exiting their car parked on the street, were confronted by four unknown males, two armed with handguns / Suspects took a cell phone and the victim's 2008 blue Chrysler Sebring",Open,A00435,2011-07-16T01:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,41.80090965,-87.59586985
NA,5100 s. hyde park,NA,2011-07-16T02:17:00Z,7/16/11 2:17 AM,UCPD officer arrested male subject wanted for theft / Turned over to CPD,Arrest,A00000,2011-07-16T02:17:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.8022475,-87.5853438
lost property,1330 e. 50th st.,kenwood park,2011-07-16T11:51:00Z,7/15/11 to 7/15/11 10:30 PM to 9:00 AM,Man reported losing his wallet from  pocket in his shorts; likely while playing ball in park,Closed,A00436,2011-07-15T22:30:00Z,2011-07-15T09:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8049276,-87.5941802
theft,1369 e. hyde park,alley,2011-07-16T14:06:00Z,7/16/11 1:30 PM to 2:00 PM,Unknown person smashed front passenger's side window in car parked in alley and took a diaper bag,Open,A00437,2011-07-16T13:30:00Z,2011-07-16T14:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8021497,-87.5924144
damage to property,6054 s. drexel,garage,2011-07-16T14:20:00Z,7/15/11 to 7/16/11 6:30 PM to 7:00 AM,Minor damage  to University owned vehicle reported,Closed,A00438,2011-07-15T18:30:00Z,2011-07-16T07:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
theft,5730 s. drexel,comer er,2011-07-16T15:22:00Z,7/16/11 3:00 PM to 3:30 PM,Unattended purse left in waiting area taken by unknown person,Open,A00439,2011-07-16T15:00:00Z,2011-07-16T15:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7903948,-87.6038772
assault,greenwood between 51st & 52nd,NA,2011-07-16T15:55:00Z,7/13/11 2:00 PM to 3:00 PM,Male acquaintance threatened female with bodily harm / Obtained order of protection,Open,A00440,2011-07-13T14:00:00Z,2011-07-13T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7833708,-87.59902095
possession of cannabis,harper between 54th & 55th,NA,2011-07-16T19:26:00Z,7/16/11 7:26 PM,UCPD officer arrested male subject for possession of suspect marijuana,Arrest,A00441,2011-07-16T19:26:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.79659625,-87.5887464
trespassing,5840 s. maryland,parking structure,2011-07-17T12:51:00Z,7/17/11 12:51 PM,UCPD officers arrested male subject trespassing on University property after receiving a legal notice banning him from the property,Arrest,A00442,2011-07-17T12:51:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7888793,-87.6049986
possession of cannabis,57th between dorchester & blackstone,NA,2011-07-17T14:44:00Z,7/17/11 2:44 PM,UCPD officers arrested two males and a female on signed complaints of trespass to a business establishment / female also charged with possession of suspected marijuana,Arrest,A00443,2011-07-17T14:44:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7914892,-87.5909303
deceptive practice,53rd at kenwood,NA,2011-07-17T16:10:00Z,7/12/11 to 7/14/11  6:00 PM to 4:00 AM,"Complainant placed wallet on the roof of her car and drove off / Unknown, unauthorized person used credit card to make several purchases",Open,A00444,2011-07-12T18:00:00Z,2011-07-14T04:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.799484,-87.5925496
theft,blackstone between 53rd & 54th,NA,2011-07-17T20:57:00Z,7/10/11 to 7/14/11 11:00 PM to 12:00 PM,Unknown person took Sony digital camera from bedroom of shared apartment,Open,A00445,2011-07-10T23:00:00Z,2011-07-14T12:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7987726,-87.590426
damage to property,ridgewood ct. between 54th & 55th,NA,2011-07-18T10:33:00Z,7/10/11 to 7/12/11 4:30 PM to 1:30 PM,"Unknown person scrawled graffiti with black marker onto the trunk, left rear quarter panel, and front passenger's window of a Honda Civic parked on the street",Open,A00446,2011-07-10T16:30:00Z,2011-07-12T13:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79686625,-87.59256185
theft,5550 s. university,crown field house,2011-07-18T11:52:00Z,7/16/11 to 7/18/11 11:00 AM to 9:00 AM,Unknown person removed lock from gym locker taking complainant's i-Pod and running shoes,Open,A00447,2011-07-16T11:00:00Z,2011-07-18T09:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7935818,-87.5989697
damage to property,5811 s. ellis,cobb hall,2011-07-18T14:04:00Z,7/16/11 to 7/18/11 5:30 PM to 2:00 PM,Unknown person used green paint to scrawl graffiti on bulletin board outside of the entrance to Cobb Hall,Open,A00448,2011-07-16T17:30:00Z,2011-07-18T14:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7889661,-87.6009319
injured person,5840 s. maryland,parking structure,2011-07-19T08:48:00Z,7/19/11 8:30 AM,"Woman stepped in pothole while walking on the 2nd floor of the parking structure, twisting her left ankle / Declined medical attention",Closed,A00449,2011-07-19T08:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7888793,-87.6049986
theft,57th between kimbark & kenwood,NA,2011-07-19T10:35:00Z,7/19/11 8:10 AM to 8:45 AM,Unknown person took tote bag from under chair in restaurant / Subsequent unauthorized use of credit card reported,Open,A00450,2011-07-19T08:10:00Z,2011-07-19T08:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7914497,-87.59403305
NA,ellis between 61st & 62nd,NA,2011-07-19T09:36:00Z,5/30/11 to 6/25/11 1:45 AM to 12:00 PM,Complainant has received emails from an unknown person impersonating others,Closed,A00451,2011-05-30T01:45:00Z,2011-06-25T12:00:00Z,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.78318105,-87.6011243
lost property,unknown,NA,2011-07-19T11:34:00Z,7/14/11 to 7/15/11 9:00 PM to 8:00 AM,Staff member reports losing UC ID and lab keys,Closed,A00452,2011-07-14T21:00:00Z,2011-07-15T08:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8781136,-87.6297982
assault,55th between everett & shore drive,NA,2011-07-19T13:20:00Z,7/19/11 1:10 PM,"Man, without provocation, chased man on the street while armed with a hatchet / Arrest by UCPD",Arrest,A00453,2011-07-19T13:10:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,41.7951805,-87.58803155
NA,57th between kimbark & kenwood,NA,2011-07-19T14:19:00Z,7/19/11 2:19 PM,UCPD officer arrested a man wanted on an outstanding warrant,Arrest,A00000,2011-07-19T14:19:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,41.7914497,-87.59403305
theft,harper between 58th & 59th,NA,2011-07-19T14:56:00Z,7/19/11 1:30 PM to 2:45 PM,Unknown person smashed passenger's side front window of car parked on the street and took a Garmin GPS and a Cobra radar detector from the glove box,Open,A00455,2011-07-19T13:30:00Z,2011-07-19T14:45:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7814048,-87.6293822
theft,5815 s. maryland,mitchell hospital,2011-07-19T16:11:00Z,7/19/11 7:00 AM to 4:10 PM,Wallet taken from unattended purse left by the side of a desk in office / Unauthorized use of credit cards reported,Open,A00456,2011-07-19T07:00:00Z,2011-07-19T16:10:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7892116,-87.6040662
theft,947 e. 58th st.,abbott,2011-07-19T17:16:00Z,7/19/11 1:15 PM to 2:00 PM,Unknown person took credit cards and iPhone from unattended purses and an external hard drive from office,Open,A00457,2011-07-19T13:15:00Z,2011-07-19T14:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7893783,-87.6025521
injured person,6054 s. drexel,parking structure,2011-07-19T09:34:00Z,7/19/11 9:20 AM,"Man walking in parking structure slipped on substance on the floor / Fell injuring hip, elbow, back, and neck / Transported to ER by CFD EMS",Closed,A00458,2011-07-19T09:20:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7846534,-87.604857
burglary,madison park between kenwood & dorchester,NA,2011-07-19T18:39:00Z,7/19/11 3:45 PM to 6:20 PM,"Unknown persons entered apartment by cutting screen on unsecured rear window / Took 37"" TV, 3 laptop computers, camera, jewelry",Open,A00459,2011-07-19T15:45:00Z,2011-07-19T18:20:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.802964,-87.5933206
sex crime,56th & greenwood,NA,2011-07-19T21:17:00Z,7/19/11 9:10 PM,Unknown male approached female walking on the sidewalk and touched her inappropriately between the legs before walking away,Open,A00460,2011-07-19T21:10:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7932525,-87.5997692
theft,5735 s. ellis,searle lab,2011-07-20T15:58:00Z,7/20/11 11:45 AM to 1:00 PM,Unknown person took MacBook computer from unattended back pack left in unsecured office,Open,A00462,2011-07-20T11:45:00Z,2011-07-20T13:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7904924,-87.6009819
possession of cannabis,5435 s. blackstone,spruce park,2011-07-20T20:32:00Z,7/20/11 7:30 PM,UCPD officers arrested a male subject for possession of marijuana,Arrest,A00463,2011-07-20T19:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.796797,-87.590059
theft,blackstone at 49th,NA,2011-07-20T21:58:00Z,7/20/11 8:00 AM to 9:30 PM,Unknown person took front tire from bicycle chained to a fence abutting the sidewalk,Open,A00464,2011-07-20T08:00:00Z,2011-07-20T21:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8060521,-87.590579
robbery,outside ucpd patrol area 63rd & cornell,NA,2011-07-21T05:27:00Z,7/21/11 2:30 AM,"Victim approached two unknown males who struck her, took her cell phone and $40",CPD Involved,A00465,2011-07-21T02:30:00Z,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8087017,-87.5895578
battery,cottage grove at 60th,NA,2011-07-21T10:26:00Z,7/20/11 5:30 PM,Unknown person threw blue liquid substance through open car window splashing motorist,Open,A00466,2011-07-20T17:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7858644,-87.6060378
theft,57th at university,NA,2011-07-21T13:02:00Z,7/20/11 to 7/21/11 2:00 PM to 12:15 AM,Bicycle chained to a city street sign taken by an unknown person,Open,A00467,2011-07-20T14:00:00Z,2011-07-21T00:15:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.791332,-87.598007
theft,900 e. 57th st.,knapp center,2011-07-21T14:43:00Z,7/20/11 9:30 AM to 4:30 PM,Unknown person took purse from unsecured desk drawer in work cubicle,Open,A00468,2011-07-20T09:30:00Z,2011-07-20T16:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7916469,-87.6034081
theft,1100 e. 57th st.,regenstein library,2011-07-21T17:29:00Z,7/21/11 2:20 PM to 5:00 PM,Wallet taken from book bag placed next to chair in library / Subsequent unauthorized use of credit cards reported,Open,A00469,2011-07-21T14:20:00Z,2011-07-21T17:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.792279,-87.599954
injured person,929 e. 57th st.,gordon center,2011-07-21T17:18:00Z,7/21/11 5:15 PM,"Pressurized container exploded in man's hand causing lacerations to his face, chest, arms, and hands / Transported to ER by CFD EMS",Closed,A00470,2011-07-21T17:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7911305,-87.6027488
theft,5550 s. university,crown field house,2011-07-21T17:49:00Z,7/21/11 5:00 PM to 5:30 PM,"Man reported unknown person took a cell phone and his wallet from a locker that was secured with a lock, but the door was not tightly closed / A second victim had his wallet and cell phone taken from an open locker",Open,A00471,2011-07-21T17:00:00Z,2011-07-21T17:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7935818,-87.5989697
assault,harper between 52nd & 53rd,NA,2011-07-22T01:35:00Z,7/22/11 12:35 AM,"During the course of an argument with one unknown man on the street, a second man appeared and fired three shots at the victim / No injuries",Open,A00472,2011-07-22T00:35:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,FALSE,41.80026195,-87.5891051
theft,800 e. 55th st.,friend center,2011-07-22T10:04:00Z,7/1/10 to 6/8/11 9:00 AM to 3:00 PM,Investigation into theft of funds by a former employee,CPD Involved,A00473,2010-07-01T09:00:00Z,2011-06-08T15:00:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.795219,-87.605296
theft,800 e. midway pl.,NA,2011-07-22T15:24:00Z,7/22/11 5:30 AM to 2:30 PM,"Unknown person took amplifier, speakers, headphones from the trunk of a car parked on the street / No sign of forced entry",Open,A00474,2011-07-22T05:30:00Z,2011-07-22T14:30:00Z,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7723961,-87.7468948
theft,ingleside between 54th & 55th,NA,2011-07-22T16:02:00Z,7/22/11 4:00 PM,Unknown man grabbed purse from the hand of a woman walking on the sidewalk,Open,A00475,2011-07-22T16:00:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.79662385,-87.602749
traffic violation,ellis at 60th,NA,2011-07-22T19:30:00Z,7/22/11 7:30 PM,UCPD officer arrested motorist for traffic violations and for driving with a suspended license,Arrest,A00000,2011-07-22T19:30:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7859081,-87.6011825
robbery,woodlawn between 51st & 52nd,NA,2011-07-23T23:28:00Z,7/23/11 11:25 PM,"Two unknown males approached woman walking on the sidewalk, struck her in the face with fist, grabbed her purse and fled",Open,A00476,2011-07-23T23:25:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.8015865,-87.5965656
traffic violation,ellis at 60th,NA,2011-07-25T01:15:00Z,7/25/11 1:15 AM,UCPD officer arrested motorist for traffic violations including driving with suspended license and no proof of insurance,Arrest,A00000,2011-07-25T01:15:00Z,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,41.7859081,-87.6011825
NA,5840 s. maryland,parking structure,2011-07-25T14:05:00Z,7/25/11 1:40 PM to 2:05 PM,Woman misplaced laptop computer in parking garage / Item found by garage patron and turned over to security / Returned to owner,Closed,A00477,2011-07-25T13:40:00Z,2011-07-25T14:05:00Z,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,41.7888793,-87.6049986
